שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
אבו גווייעד שבט,0.19,0.0,0.0,0.75,7.13,0.0,0.94,0.0,2.25,0.0,87.8,0.19,0.75,-2.6712642,4.3914995,10.726818,46.710938,הרשימה הערבית המאוחדת:87.8,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:7.13",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:2.25,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:0.94,5,967,549,540,9
אבו גוש,0.51,0.04,0.11,45.93,11.35,0.47,0.29,0.07,7.56,2.11,30.47,0.95,0.15,-3.8687046,7.6070924,-1.3628404,41.093384,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:45.93",הרשימה הערבית המאוחדת:30.47,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:11.35",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.56,0,472,2809,2769,40
אבו סנאן,0.64,0.06,0.0,12.71,38.1,0.11,7.53,6.66,7.6,1.54,21.77,3.06,0.23,-4.838032,6.737193,1.3464637,33.61488,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:38.1",הרשימה הערבית המאוחדת:21.77,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:12.71",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.6,10,473,5458,5382,76
אבו קורינאת שבט,0.42,0.08,0.0,0.83,5.42,0.0,0.0,0.0,0.75,0.5,91.41,0.33,0.25,-2.6501107,4.2754736,11.944207,47.062717,הרשימה הערבית המאוחדת:91.41,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:5.42","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:0.83",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.75,5,968,1215,1209,6
אבו קרינאת יישוב,0.58,0.0,0.29,1.74,2.62,0.0,0.29,0.0,0.58,0.0,90.41,3.49,0.0,-2.6465604,4.27046,11.054712,48.21526,הרשימה הערבית המאוחדת:90.41,יש עתיד בראשות יאיר לפיד לראשות הממשלה:3.49,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:2.62","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.74",5,1342,351,346,5
אבו רובייעה שבט,0.69,0.0,0.34,1.66,6.34,0.07,0.83,0.14,1.86,0.34,86.69,0.62,0.41,-2.6224415,4.3709636,10.170092,47.201717,הרשימה הערבית המאוחדת:86.69,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:6.34",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:1.86,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.66",5,966,1496,1473,23
אבו רוקייק שבט,0.0,0.0,0.0,1.69,18.87,0.82,0.1,0.1,0.43,0.19,77.42,0.24,0.14,-2.6838124,5.193006,9.979524,44.85831,הרשימה הערבית המאוחדת:77.42,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:18.87","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.69",הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:0.82,5,961,2105,2093,12
אבו תלול,0.0,0.0,0.0,0.93,21.09,0.0,0.47,0.0,0.62,0.0,76.9,0.0,0.0,-2.7033954,5.280129,10.024003,44.53409,הרשימה הערבית המאוחדת:76.9,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:21.09","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:0.93",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.62,5,1375,653,647,6
אבטין,0.12,0.0,0.0,8.56,22.57,0.23,0.93,2.2,1.62,0.12,61.92,1.39,0.35,-3.08761,5.721564,7.3803306,43.215305,הרשימה הערבית המאוחדת:61.92,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:22.57","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:8.56",ישראל ביתנו בראשות אביגדור ליברמן:2.2,5,652,875,867,8
אביאל,9.3,0.52,0.52,0.26,0.78,4.39,19.9,0.78,18.35,11.89,0.0,32.82,0.52,15.19451,9.387713,-16.316824,-9.141357,יש עתיד בראשות יאיר לפיד לראשות הממשלה:32.82,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.9,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:18.35,מרצ השמאל של ישראל בראשות זהבה גלאון:11.89,9,679,405,402,3
אביגדור,7.92,0.62,0.21,0.0,0.0,6.46,20.83,0.21,10.83,5.42,0.21,45.42,1.88,15.561204,12.008062,-21.051348,1.3497409,יש עתיד בראשות יאיר לפיד לראשות הממשלה:45.42,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:20.83,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.83,מפלגת העבודה בראשות מרב מיכאלי:7.92,1,819,486,483,3
אביחיל,10.1,0.15,0.0,0.15,0.45,4.16,17.24,2.53,14.56,10.1,0.15,40.12,0.3,15.478918,10.195682,-16.704897,-5.3452005,יש עתיד בראשות יאיר לפיד לראשות הממשלה:40.12,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.24,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.56,מפלגת העבודה בראשות מרב מיכאלי:10.1,1,175,698,694,4
אביטל,0.61,2.15,1.84,0.0,0.0,26.38,10.12,0.61,47.24,0.31,0.0,2.15,8.59,14.613327,-0.2314833,27.300713,-2.5473907,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:47.24,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:26.38,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.12,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:8.59,3,2052,328,327,1
אביעזר,7.61,0.41,0.21,0.21,1.44,13.37,12.35,2.67,35.8,4.32,0.0,18.31,3.29,15.187133,4.313935,9.070057,-8.900696,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:35.8,יש עתיד בראשות יאיר לפיד לראשות הממשלה:18.31,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:13.37,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.35,11,1070,497,496,1
אבן יהודה,7.12,0.78,0.34,0.03,0.18,5.48,15.52,1.87,19.88,5.4,0.11,41.63,1.66,16.088455,9.611585,-12.472901,-2.7805908,יש עתיד בראשות יאיר לפיד לראשות הממשלה:41.63,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.88,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.52,מפלגת העבודה בראשות מרב מיכאלי:7.12,9,182,7712,7693,19
אבן ספיר,3.32,1.11,0.83,0.0,0.0,11.63,13.3,0.55,50.14,2.77,0.0,11.36,4.99,15.366206,1.7071037,20.822987,2.5234222,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:50.14,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.3,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.63,יש עתיד בראשות יאיר לפיד לראשות הממשלה:11.36,3,783,369,368,1
אבן שמואל,0.44,4.88,1.55,0.0,0.0,53.44,2.11,0.0,27.49,0.33,0.0,0.22,9.53,11.342672,-3.4405506,44.34541,-6.944183,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:53.44,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:27.49,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:9.53,הבית היהודי בראשות איילת שקד:4.88,2,400,905,904,1
אבני איתן,0.0,8.81,0.31,0.0,0.0,64.78,5.35,0.94,14.78,0.63,0.0,2.52,1.89,10.843102,-4.1983995,48.92944,-9.077862,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:64.78,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.78,הבית היהודי בראשות איילת שקד:8.81,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:5.35,7,4011,325,324,1
אבני חפץ,0.0,2.21,0.96,0.0,0.0,69.78,0.67,0.0,16.55,0.0,0.0,0.38,9.43,10.627393,-4.302078,50.29723,-7.094736,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:69.78,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:16.55,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:9.43,הבית היהודי בראשות איילת שקד:2.21,7,3793,1049,1044,5
אדרת,2.27,4.09,0.45,0.0,0.0,21.59,7.95,0.45,45.91,0.68,0.0,5.45,11.14,14.685965,-0.078961395,25.872967,-2.1726313,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:45.91,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:21.59,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:11.14,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:7.95,3,1123,443,443,0
אודים,11.13,0.66,0.17,0.0,0.5,3.16,15.28,2.33,11.46,9.3,0.0,45.02,1.0,15.163285,12.744906,-22.815243,5.2319136,יש עתיד בראשות יאיר לפיד לראשות הממשלה:45.02,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.28,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.46,מפלגת העבודה בראשות מרב מיכאלי:11.13,1,446,617,614,3
אום אלפחם,0.36,0.02,0.11,38.17,40.87,0.11,0.06,0.03,0.72,0.96,18.19,0.13,0.27,-4.817867,7.1363807,-0.9147783,36.142918,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:40.87","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:38.17",הרשימה הערבית המאוחדת:18.19,מרצ השמאל של ישראל בראשות זהבה גלאון:0.96,10,2710,14658,14451,207
אום אלקוטוף,0.22,0.0,0.0,38.65,23.6,0.0,0.45,0.0,0.45,2.7,33.93,0.0,0.0,-3.9025319,7.435187,-0.26020688,40.001663,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:38.65",הרשימה הערבית המאוחדת:33.93,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:23.6",מרצ השמאל של ישראל בראשות זהבה גלאון:2.7,0,2024,454,446,8
אום בטין,0.08,0.0,0.0,2.58,7.34,0.0,0.08,0.08,0.7,0.31,88.68,0.08,0.08,-2.6277027,4.354452,10.924867,46.948864,הרשימה הערבית המאוחדת:88.68,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:7.34","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:2.58",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.7,5,1358,1300,1289,11
אומן,0.0,0.6,0.6,0.0,0.0,17.56,5.36,5.95,48.51,0.3,0.0,15.18,5.95,15.067206,1.9794488,18.727768,1.707672,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:48.51,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.56,יש עתיד בראשות יאיר לפיד לראשות הממשלה:15.18,ישראל ביתנו בראשות אביגדור ליברמן:5.95,3,1108,339,339,0
אומץ,10.71,1.02,0.26,0.0,0.0,3.06,18.37,1.53,11.73,7.91,0.0,43.88,1.53,15.14044,12.3693075,-23.008722,4.0587263,יש עתיד בראשות יאיר לפיד לראשות הממשלה:43.88,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.37,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.73,מפלגת העבודה בראשות מרב מיכאלי:10.71,1,680,398,397,1
אופקים,0.72,0.55,15.13,0.06,0.04,15.99,3.28,3.76,32.33,0.38,0.12,4.34,23.3,13.532942,1.4455258,26.052414,-9.747813,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:32.33,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:23.3,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.99,יהדות התורה והשבת אגודת ישראל - דגל התורה:15.13,8,31,16406,16284,122
אור הנר,16.14,1.05,0.0,0.21,0.63,3.14,25.79,2.52,6.71,6.5,0.0,36.9,0.42,13.927288,11.149261,-26.824148,-5.656852,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.9,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:25.79,מפלגת העבודה בראשות מרב מיכאלי:16.14,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:6.71,1,67,481,481,0
אור יהודה,1.69,0.45,0.68,0.02,0.05,11.1,7.82,1.42,46.35,1.06,0.04,10.07,19.26,14.641591,1.4720654,23.671238,0.25733727,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:46.35,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:19.26,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.1,יש עתיד בראשות יאיר לפיד לראשות הממשלה:10.07,3,2400,20022,19892,130
אור עקיבא,1.24,1.09,0.92,0.07,0.07,11.99,5.87,7.56,47.77,0.65,0.02,11.96,10.8,14.774531,2.0484147,17.703674,1.4998488,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:47.77,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.99,יש עתיד בראשות יאיר לפיד לראשות הממשלה:11.96,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:10.8,3,1020,10955,10879,76
אורה,3.99,0.87,0.35,0.0,0.17,18.23,17.88,1.22,32.29,1.39,0.0,14.93,8.68,15.4681,4.0306716,12.890562,-7.1713166,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:32.29,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:18.23,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.88,יש עתיד בראשות יאיר לפיד לראשות הממשלה:14.93,11,780,596,593,3
אורות,13.4,0.62,0.31,0.0,0.0,3.74,21.18,0.31,14.02,8.1,0.0,37.69,0.62,14.935083,10.823283,-19.206749,-4.8104653,יש עתיד בראשות יאיר לפיד לראשות הממשלה:37.69,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:21.18,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.02,מפלגת העבודה בראשות מרב מיכאלי:13.4,1,2012,326,324,2
אורנית,3.52,4.03,0.5,0.02,0.0,12.87,17.08,2.32,26.52,1.53,0.0,29.7,1.91,15.460196,6.578321,-1.1491457,-7.2831216,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.7,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:26.52,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.08,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:12.87,9,3760,5080,5064,16
אזור,3.72,1.1,0.89,0.01,0.09,10.9,11.09,2.84,34.4,1.56,0.03,21.17,12.2,14.950406,3.7842855,12.018337,-4.5083437,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:34.4,יש עתיד בראשות יאיר לפיד לראשות הממשלה:21.17,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:12.2,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:11.09,11,565,6864,6823,41
אחוזת ברק,3.13,0.69,0.08,0.0,0.0,9.24,14.35,3.97,35.8,1.45,0.0,29.39,1.91,14.855099,5.406405,2.8282495,-5.1797423,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:35.8,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.39,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.35,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:9.24,11,1330,1353,1349,4
אחיהוד,0.37,1.12,1.5,0.0,0.0,32.52,3.36,0.0,45.23,0.19,0.0,2.06,13.64,14.028413,-0.36553666,30.36091,-2.7657506,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:45.23,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:32.52,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:13.64,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:3.36,3,785,544,540,4
אחיטוב,3.11,0.37,0.37,0.0,0.37,12.45,26.92,0.73,32.78,0.73,0.0,16.12,6.04,15.689396,4.6736517,7.581794,-5.001623,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:32.78,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:26.92,יש עתיד בראשות יאיר לפיד לראשות הממשלה:16.12,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:12.45,11,850,552,551,1
אחיסמך,0.95,0.27,0.41,0.0,0.0,17.1,3.53,0.14,51.29,0.27,0.0,0.41,25.64,13.9940815,0.6216878,29.661402,2.8224678,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:51.29,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:25.64,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.1,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:3.53,3,804,740,738,2
אחיעזר,0.0,1.63,2.21,0.0,0.0,18.75,0.87,0.1,31.54,0.0,0.0,0.58,44.33,13.274804,0.67101485,33.99496,1.5955608,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:44.33,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.54,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:18.75,יהדות התורה והשבת אגודת ישראל - דגל התורה:2.21,8,797,1050,1045,5
אטרש שבט,0.34,0.0,0.0,0.34,9.14,0.0,0.17,0.0,1.02,0.34,88.16,0.34,0.17,-2.6603298,4.3953714,11.099268,46.268345,הרשימה הערבית המאוחדת:88.16,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:9.14",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:1.02,מפלגת העבודה בראשות מרב מיכאלי:0.34,5,965,604,598,6
אייל,22.12,0.0,0.0,0.3,0.0,0.61,12.12,2.42,4.24,11.52,0.0,46.67,0.0,12.961683,12.439665,-35.051292,-0.39947796,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.67,מפלגת העבודה בראשות מרב מיכאלי:22.12,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.12,מרצ השמאל של ישראל בראשות זהבה גלאון:11.52,1,716,333,333,0
איילת השחר,22.59,1.21,0.52,0.0,0.0,3.97,19.83,3.28,9.66,7.59,0.0,30.34,1.03,12.154776,12.092172,-35.071194,-9.005896,יש עתיד בראשות יאיר לפיד לראשות הממשלה:30.34,מפלגת העבודה בראשות מרב מיכאלי:22.59,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.83,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:9.66,6,77,590,588,2
אילון,11.11,0.64,0.16,0.16,0.97,3.7,11.43,2.58,14.33,24.32,0.0,30.27,0.32,12.382114,14.283698,-43.676373,-1.6493245,יש עתיד בראשות יאיר לפיד לראשות הממשלה:30.27,מרצ השמאל של ישראל בראשות זהבה גלאון:24.32,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.33,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:11.43,6,294,638,638,0
אילת,1.88,0.51,0.66,0.21,0.37,11.33,10.39,4.64,44.54,1.26,0.26,17.1,6.84,15.166675,2.4945707,17.21551,-0.7480903,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:44.54,יש עתיד בראשות יאיר לפיד לראשות הממשלה:17.1,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.33,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.39,11,2600,22361,22189,172
אירוס,4.05,0.71,0.24,0.0,0.24,7.38,21.67,4.29,26.43,4.52,0.0,29.29,1.19,15.373153,6.7788186,-2.9690864,-9.095954,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.29,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:26.43,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:21.67,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:7.38,9,1336,427,427,0
איתמר,0.0,2.86,1.02,0.0,0.0,87.73,0.2,0.41,4.91,0.0,0.0,0.0,2.86,9.643223,-5.140012,55.79595,-7.6303267,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:87.73,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:4.91,הבית היהודי בראשות איילת שקד:2.86,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:2.86,7,3762,492,492,0
איתן,0.0,4.21,1.62,0.0,0.0,37.22,3.24,0.97,34.63,0.0,0.0,0.65,17.48,13.71629,-0.32768825,33.005806,-2.6150239,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:37.22,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:34.63,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:17.48,הבית היהודי בראשות איילת שקד:4.21,8,37,313,312,1
אכסאל,0.06,0.0,0.27,19.09,52.31,0.1,0.1,0.04,0.79,0.81,25.84,0.56,0.04,-4.944589,6.679574,2.4291668,34.821358,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:52.31",הרשימה הערבית המאוחדת:25.84,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:19.09",מרצ השמאל של ישראל בראשות זהבה גלאון:0.81,10,478,5257,5212,45
אל סייד,0.37,0.0,0.19,1.67,2.5,0.0,0.09,0.0,4.81,0.19,89.63,0.46,0.09,-2.5967865,4.3057485,10.47753,48.204445,הרשימה הערבית המאוחדת:89.63,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:4.81,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:2.5","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.67",5,1359,1095,1088,7
אלומה,0.0,2.65,17.39,0.0,0.0,38.0,1.51,0.0,3.59,0.0,0.0,0.0,36.86,12.866204,1.2246808,29.28962,-12.215657,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:38.0,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:36.86,יהדות התורה והשבת אגודת ישראל - דגל התורה:17.39,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:3.59,8,1145,531,531,0
אלון הגליל,16.86,0.17,0.0,0.17,0.17,1.49,12.23,1.82,2.81,16.86,0.33,47.11,0.0,12.985426,13.683586,-37.973106,3.188844,יש עתיד בראשות יאיר לפיד לראשות הממשלה:47.11,מפלגת העבודה בראשות מרב מיכאלי:16.86,מרצ השמאל של ישראל בראשות זהבה גלאון:16.86,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.23,6,1182,612,611,1
אלון מורה,0.0,1.53,0.42,0.0,0.0,86.75,0.14,0.28,8.51,0.0,0.0,0.14,2.23,9.646334,-5.1373553,55.36836,-7.200451,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:86.75,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:8.51,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:2.23,הבית היהודי בראשות איילת שקד:1.53,7,3579,720,717,3
אלון שבות,0.72,23.81,0.72,0.0,0.0,48.23,7.46,0.84,14.97,0.24,0.0,1.68,1.32,12.135597,-3.2337706,42.920452,-12.01669,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:48.23,הבית היהודי בראשות איילת שקד:23.81,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.97,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:7.46,2,3604,1686,1682,4
אלוני אבא,11.55,0.19,0.0,0.0,0.37,2.23,15.64,1.12,7.45,8.57,0.37,52.14,0.37,15.556395,13.462777,-25.796896,9.675689,יש עתיד בראשות יאיר לפיד לראשות הממשלה:52.14,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.64,מפלגת העבודה בראשות מרב מיכאלי:11.55,מרצ השמאל של ישראל בראשות זהבה גלאון:8.57,1,429,545,545,0
אלונים,24.03,0.26,0.0,0.0,0.0,2.58,13.95,1.03,7.24,5.43,0.0,45.22,0.26,12.8864355,12.213466,-34.798653,-1.8173809,יש עתיד בראשות יאיר לפיד לראשות הממשלה:45.22,מפלגת העבודה בראשות מרב מיכאלי:24.03,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.95,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.24,1,285,395,393,2
אליכין,2.75,1.02,1.68,0.0,0.0,15.54,8.35,0.76,43.81,1.27,0.0,9.88,14.93,14.746901,1.7015297,22.777332,-0.72476315,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.81,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.54,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:14.93,יש עתיד בראשות יאיר לפיד לראשות הממשלה:9.88,3,41,2018,2002,16
אליפלט,0.52,1.56,2.08,0.0,0.0,16.88,7.27,0.0,58.96,0.26,0.0,2.86,9.61,15.103868,0.68056244,25.196003,4.283752,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:58.96,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:16.88,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:9.61,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:7.27,3,730,391,391,0
אליקים,0.9,0.45,3.37,0.0,0.0,26.74,2.7,0.45,44.04,0.45,0.0,2.7,18.2,13.939881,-0.06554313,30.475859,-1.262394,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:44.04,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:26.74,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:18.2,יהדות התורה והשבת אגודת ישראל - דגל התורה:3.37,3,682,456,454,2
אלישיב,3.53,2.17,0.27,0.0,0.0,18.21,13.04,0.54,43.48,3.26,0.0,10.6,4.89,15.84518,2.0047328,20.401665,-3.1915185,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.48,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:18.21,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.04,יש עתיד בראשות יאיר לפיד לראשות הממשלה:10.6,3,204,377,377,0
אלישמע,1.57,1.73,0.47,0.0,0.16,14.29,16.33,0.63,43.96,0.63,0.0,10.83,9.42,15.432376,2.13133,19.642096,-1.5944635,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.96,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.33,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:14.29,יש עתיד בראשות יאיר לפיד לראשות הממשלה:10.83,3,841,645,640,5
